Ich hätte gerne ...,Aș vrea ...,,,,,sent,,,
Kannst du ... ?,Poți să ...?,,,,,sent,,,
Schule,școală,școli,,,,f,o,două,Duolingo
"Laden, Geschäft",magazin,magazine,,,,n,un,două,Duolingo
Gefängnis,închisoare,închisori,,Wir haben nicht viele Gefängnisse in unserer Stadt,Noi nu avem multe închisori în orașul nostru.,f,o,două,Duolingo
"Auswahl, Wahl",alegere,alegeri,,,,f,o,două,Duolingo
Verbrechen,infracțiune,infracțiuni,,,,f,o,două,Duolingo
"Sieger, Gewinner",câștigător,câștigători,,,,f,o,două,Duolingo
Streik,grevă,greve,,,,f,o,două,Duolingo
"Bedrohung, Drohung",amenințare,amenințări,,,,f,o,două,Duolingo
Entscheidung,decizie,decizii,,,,f,o,două,Duolingo
wie,cum,,,"Wie kommt's, dass ... ? ",Cum așa ... ?,adv,,,Duolingo
wie viel auch immer,oricât,,,,,adv,,,Duolingo
"dort, da",acolo,,,,,adv,,,Duolingo
"jetzt, nun",acum,,,Hast du jetzt Zeit?,Ai tu timp acum?,adv,,,Duolingo
wann,când,,,,,adv,,,Duolingo
"dann, damals",atunci,,,,,adv,,,Duolingo
so… wie…,așa… ca,,,,,adv,,,Duolingo
"hier, hierhin",aici,,,Stell die dreckigen Gläser hierhin,Puneți paharele murdare aici,adv,,,Duolingo
langsam,încet,,,Du sprichst langsam,Tu vorbești încet,adj,,,Duolingo
"sicher, gewiss",sigur,,,,,adj,,,Duolingo
"alles, ganz",tot,,,,,adj,,,Duolingo
schnell,repede/ rapid,,,,,adj,,,Duolingo
unerwartet,neașteptat,,,,,adj,,,Duolingo
selten,rar,,,,,adj,,,Duolingo
"ausreichend, genug",suficient,,,,,adj,,,Duolingo
umsonst,degeaba,,,,,adv,,,Duolingo
"oft, häufig",des,,,,,adv,,,Duolingo
getrennt,separat,,,,,adj,,,Duolingo
"manchmal, gelegentlich",uneori,,,,,adv,,,Duolingo
anders,altfel,,,,,adj,,,Duolingo
"weil, denn",deoarece,,,,,conj,,,Duolingo
"deshalb, daher",așadar,,,,,adv,,,Duolingo
Kreisstadt,municipiu,municipii,,,,n,un,două,Duolingo
niemand,nimeni,,,Es kümmert niemanden,Nu-i pasă nimănui,pron,,,Duolingo
nichts,nimic,,,keien Ursache,pentru nimic,pron,,,Duolingo
welcher/ welche/ welches,care,,,wofür,pentru care,pron,,,Duolingo
irgendein,vreo,,,Haben Sie sonst noch einen Wunsch?,Mai aveți vreo dorință?,adj,,,Duolingo
andere,alta/ alte,,,,,,,,Duolingo
"drüben, herüber, hinüber",dincolo,,,,,adv,,,Duolingo
"drinnen, hinein, darin",înăuntru,,,,,adv,,,Duolingo
"oberhalb, auf, drauf",deasupra,,,,,adv,,,Duolingo
rückwerts,înapoi,,,,,adv,,,Duolingo
"danach, nachher",apoi,,,,,adv,,,Duolingo
jemandem,cuiva,,,jdm. etw. versprechen,a promite ceva cuiva,,,,Duolingo
jedem,oricăruia,,,"Ich gebe die Äpfel jedem, der zuerst kommt",Eu dau merele oricăruia vine primul.,,,,Duolingo
jemand anderes,altcineva,,,,,adv,,,Duolingo
"jede, beliebig, jedweder",oricare,,,"..., (genau) wie jeder andere auch.","..., la fel ca oricare altul.",adv,,,Duolingo
jemand,cineva,,,Jemand ist im Haus,Cineva este în casă!,adv,,,Duolingo
"wenn, falls",dacă,,,,,conj,,,Duolingo
währrend,în timp ce,,,,,,,,Duolingo
"gar nicht, überhaupt",deloc,,,,,adv,,,Duolingo
